trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-207.6546937757748,"{0: 11, 1: 7, 2: 9, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': -0.5000000000000003}",20,0,-189.33837305504764,"{0: 4, 1: 6, 2: 8, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': -1.500000000000001}",20,0,-205.4255661439704,"{0: 2, 1: 7, 2: 9, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': -2.4999999999999996}",25,0,-223.68938542289436,"{0: 1, 1: 9, 2: 14, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': -3.749999999999995}",20,0,-193.26901010719033,"{0: 1, 1: 11, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': -4.749999999999992}",25,0,-256.19063910759746,"{0: 5, 1: 7, 2: 10, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': -5.999999999999988}",20,0,-267.7962038246512,"{0: 2, 1: 6, 2: 8, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': -6.999999999999984}",20,0,-238.61965279529346,"{0: 1, 1: 8, 2: 8, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': -7.9999999999999805}",25,0,-248.15074041103358,"{0: 3, 1: 12, 2: 7, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': -9.249999999999998}",25,0,-212.28625077084737,"{0: 0, 1: 13, 2: 11, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': -10.500000000000016}",25,0,-323.5212765778748,"{0: 2, 1: 11, 2: 7, 3: 0, 4: 5}",0
12,False,"{'a': 0.5, 'e': -11.750000000000034}",30,0,-366.02717017096523,"{0: 2, 1: 12, 2: 11, 3: 0, 4: 5}",0
13,False,"{'a': 0.5, 'e': -13.250000000000055}",20,0,-274.335440119377,"{0: 1, 1: 7, 2: 8, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': -14.25000000000007}",25,0,-287.7127729449187,"{0: 4, 1: 8, 2: 9, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': -15.500000000000087}",20,0,-217.6422992500943,"{0: 0, 1: 9, 2: 9, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': -16.5000000000001}",20,0,-222.7972725342279,"{0: 4, 1: 4, 2: 9, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': -17.500000000000114}",25,0,-335.308003018098,"{0: 3, 1: 7, 2: 10, 3: 0, 4: 5}",0
18,False,"{'a': 0.5, 'e': -18.75000000000013}",20,0,-205.71767022173262,"{0: 2, 1: 7, 2: 9, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': -19.750000000000146}",30,0,-322.13890560415206,"{0: 6, 1: 8, 2: 11, 3: 1, 4: 4}",0
20,False,"{'a': 0.5, 'e': -21.250000000000167}",35,0,-382.0443952489839,"{0: 2, 1: 15, 2: 13, 3: 1, 4: 4}",0
1,True,"{'a': 0.5, 'e': -23.000000000000192}",20,0,-239.34867974798857,"{0: 1, 1: 8, 2: 8, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': -24.000000000000206}",25,0,-298.29634803888814,"{0: 5, 1: 5, 2: 10, 3: 1, 4: 4}",0
3,True,"{'a': 0.5, 'e': -25.250000000000224}",20,0,-234.8173800968566,"{0: 2, 1: 7, 2: 8, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': -26.250000000000238}",20,0,-231.7769587558506,"{0: 4, 1: 6, 2: 6, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': -27.250000000000252}",20,0,-169.21023896779465,"{0: 2, 1: 7, 2: 10, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': -28.250000000000266}",20,0,-190.84079517714633,"{0: 2, 1: 9, 2: 7, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': -29.25000000000028}",25,0,-306.2926078486354,"{0: 0, 1: 13, 2: 8, 3: 0, 4: 4}",0
8,True,"{'a': 0.5, 'e': -30.5000000000003}",25,0,-258.4782404443894,"{0: 5, 1: 6, 2: 11, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': -31.750000000000316}",20,0,-252.06264771007164,"{0: 2, 1: 9, 2: 5, 3: 0, 4: 4}",0
10,True,"{'a': 0.5, 'e': -32.75000000000028}",20,0,-185.14305528287065,"{0: 5, 1: 4, 2: 9, 3: 0, 4: 2}",0
