trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.6271022643128,"{0: 7, 1: 5, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-181.65327826926796,"{0: 1, 1: 11, 2: 13, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': -1.2500000000000009}",30,0,-298.95181236816154,"{0: 5, 1: 8, 2: 14, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': -2.7499999999999987}",20,0,-211.6615717113978,"{0: 6, 1: 2, 2: 9, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': -3.749999999999995}",20,0,-266.3554086948877,"{0: 0, 1: 11, 2: 5, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': -4.749999999999992}",20,0,-187.75075445206838,"{0: 4, 1: 5, 2: 9, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': -5.7499999999999885}",25,0,-279.6953467423895,"{0: 4, 1: 9, 2: 8, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': -6.999999999999984}",25,0,-315.56804955716905,"{0: 3, 1: 10, 2: 7, 3: 0, 4: 5}",0
9,False,"{'a': 0.5, 'e': -8.249999999999984}",25,0,-270.96405781523936,"{0: 2, 1: 10, 2: 10, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': -9.500000000000002}",20,0,-275.93040004463523,"{0: 0, 1: 9, 2: 7, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': -10.500000000000016}",25,0,-235.49242540894403,"{0: 2, 1: 11, 2: 10, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': -11.750000000000034}",30,0,-268.04796581591626,"{0: 2, 1: 15, 2: 11, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': -13.250000000000055}",35,0,-401.00889567385997,"{0: 3, 1: 13, 2: 14, 3: 0, 4: 5}",0
14,False,"{'a': 0.5, 'e': -15.00000000000008}",25,0,-261.53981145729074,"{0: 3, 1: 9, 2: 10, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': -16.250000000000096}",30,0,-224.00820859263524,"{0: 15, 1: 3, 2: 9, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': -17.750000000000117}",20,0,-280.41023060894634,"{0: 3, 1: 8, 2: 4, 3: 0, 4: 5}",0
17,False,"{'a': 0.5, 'e': -18.75000000000013}",25,0,-307.62580131655614,"{0: 1, 1: 11, 2: 9, 3: 0, 4: 4}",0
18,False,"{'a': 0.5, 'e': -20.00000000000015}",20,0,-246.31017470831856,"{0: 5, 1: 3, 2: 8, 3: 0, 4: 4}",0
19,False,"{'a': 0.5, 'e': -21.000000000000163}",30,0,-267.870434135407,"{0: 3, 1: 11, 2: 14, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -22.500000000000185}",35,0,-567.3459864933573,"{0: 1, 1: 15, 2: 9, 3: 0, 4: 10}",0
1,True,"{'a': 0.5, 'e': -24.25000000000021}",20,0,-236.62901617441744,"{0: 0, 1: 11, 2: 6, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': -25.250000000000224}",25,0,-276.71286496888536,"{0: 0, 1: 13, 2: 9, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': -26.50000000000024}",30,0,-387.2404341294334,"{0: 6, 1: 11, 2: 6, 3: 0, 4: 7}",0
4,True,"{'a': 0.5, 'e': -28.000000000000263}",20,0,-207.66378460235455,"{0: 5, 1: 6, 2: 6, 3: 0, 4: 3}",0
5,True,"{'a': 0.5, 'e': -29.000000000000277}",25,0,-252.3275553195699,"{0: 4, 1: 9, 2: 9, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': -30.250000000000295}",25,0,-330.8139402648369,"{0: 1, 1: 12, 2: 7, 3: 0, 4: 5}",0
7,True,"{'a': 0.5, 'e': -31.500000000000313}",25,0,-320.75219920991594,"{0: 2, 1: 11, 2: 7, 3: 0, 4: 5}",0
8,True,"{'a': 0.5, 'e': -32.75000000000028}",20,0,-172.53485834978605,"{0: 2, 1: 7, 2: 10, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': -33.75000000000022}",30,0,-358.1385215011679,"{0: 1, 1: 16, 2: 8, 3: 0, 4: 5}",0
10,True,"{'a': 0.5, 'e': -35.250000000000135}",35,0,-399.93124462992023,"{0: 2, 1: 15, 2: 13, 3: 0, 4: 5}",0
