trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.845367485089355,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.79007315934903,"{0: 16, 1: 3, 2: 3, 3: 3, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.72952835146341,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.0190165714557,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-258.5226913252732,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 5}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-184.61200286489748,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.26223465923897,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-176.01963357373094,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-198.03984614527658,"{0: 13, 1: 0, 2: 7, 3: 3, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.1895165524096,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.2484431666039,"{0: 16, 1: 4, 2: 1, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-42.27786893454041,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-182.58074789913445,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,8,-22.026712805368433,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.71552701487579,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.51867895058265,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.42680862640817,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-180.11042316454862,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-240.60797171524808,"{0: 12, 1: 1, 2: 7, 3: 1, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,3,-94.6460061447453,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 2}",1
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-139.64711645178272,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-101.10469413793655,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-112.72283119006899,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-70.87128741134569,"{0: 9, 1: 6, 2: 5, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-40.34060365585703,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",35,0,-300.2015674628845,"{0: 17, 1: 2, 2: 9, 3: 3, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-150.56882078247423,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-36.83395246447572,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,2,-66.9134494086556,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-105.38191732885478,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",1
